Name;SoundtrackCredits
Aaron Copland;71
Alban Berg;9
Albert Roussel;3
Alberto Ginastera;4
Alessandro Marcello;16
Alessandro Scarlatti;5
Alexander Borodin;79
Alexander Glazunov;6
Alexander Scriabin;21
Alexander von Zemlinsky
Alfred Schnittke;21
Anton Bruckner;31
Anton Webern;6
Antonio Carlos Gomes;10
Antonio Salieri;6
Antonio Vivaldi;631
Antonín Dvořák;284
Aram Khachaturian;90
Arcangelo Corelli;23
Arnold Bax;4
Arnold Schoenberg;25
Arthur Honegger;10
Arvo Pärt;124
Astor Piazzolla;80
Bedrich Smetana;101
Benedetto Marcello;4
Benjamin Britten;57
Bohuslav Martinů;9
Béla Bartók;51
Camargo Guarnieri;0
Camille Saint-Saëns;234
Carl Maria von Weber;52
Carl Nielsen;11
Carl Orff;105
Carl Philipp Emanuel Bach;11
Carl Stamitz;0
Carlo Gesualdo;6
Carlos Chávez;0
Charles Gounod;231
Charles Ives;28
Charles-Marie Widor;6
Christoph Willibald von Gluck;67
Claude Debussy;391
Claudio Monteverdi;49
Clément Janequin;3
César Cui;0
César Franck;56
Darius Milhaud;8
Dietrich Buxtehude;5
Dmitri Shostakovich;156
Dmitry Kabalevsky;13
Domenico Scarlatti;43
Edgard Varèse;10
Edouard Lalo;9
Edvard Grieg;367
Edward Elgar;282
Edward MacDowell;10
Einojuhani Rautavaara;3
Elliott Carter;0
Emmanuel Chabrier;10
Engelbert Humperdinck;41
Enrique Granados;0
Erich Wolfgang Korngold;25
Erik Satie;246
Ernest Bloch;4
Ernest Chausson;2
Ernest Moeran;0
Ernst von Dohnányi;0
Eugene Ysaÿe;0
Felix Mendelssohn;1198
Fernando Lopes-Graça;2
Fernando Sor;11
Ferruccio Busoni;8
Francis Poulenc;24
Francisco Mignone;0
Franz Berwald;0
Franz Joseph Haydn;344
Franz Liszt;403
Franz Schmidt;0
Franz Schubert;908
François Couperin;26
Frederick Delius;7
Frédéric Chopin;1177
Gabriel Fauré;128
Gaetano Donizetti;195
Georg Philipp Telemann;24
George Antheil;7
George Crumb;2
George Enescu;6
George Frideric Handel;680
George Gershwin;790
Georges Bizet;489
Giacomo Puccini;551
Gioachino Rossini;802
Giovanni Battista Pergolesi;36
Giovanni Pierluigi da Palestrina;13
Girolamo Frescobaldi;5
Giuseppe Tartini;9
Giuseppe Verdi;805
Guillaume Dufay;2
Guillaume de Machaut;2
Gustav Holst;111
Gustav Mahler;172
György Ligeti;43
Hans Werner Henze;1
Harrison Birtwistle;1
Hector Berlioz;98
Heinrich Franz von Biber;0
Heinrich Schütz;5
Heitor Villa-Lobos;40
Henri Dutilleux;3
Henry Purcell;154
Henryk Górecki;28
Howard Hanson;2
Hugo Wolf;1
Iannis Xenakis;3
Igor Stravinsky;134
Isaac Albéniz;30
Jacob Obrecht;0
Jacques Ibert;11
Jacques Offenbach;427
Jan Pieterszoon Sweelinck;0
Jean Sibelius;181
Jean-Baptiste Lully;32
Jean-Philippe Rameau;54
Joaquín Rodrigo;28
Johann Christian Bach;3
Johann Nepomuk Hummel;6
Johann Pachelbel;196
Johann Sebastian Bach;1617
Johann Strauss Jr;1081
Johannes Brahms;627
Johannes Ockeghem;0
John Adams;21
John Cage;9
John Corigliano;3
John Dowland;12
John Field;29
John Taverner;0
Joly Braga Santos;0
Josef Suk;4
Josquin Des Prez;11
Jules Massenet;74
Karl Ditters von Dittersdorf;1
Karl Goldmark;0
Karlheinz Stockhausen;6
Karol Szymanowski;4
Krzysztof Penderecki;37
Kurt Weill;216
Leonard Bernstein;282
Leoš Janáček;0
Louis Spohr;1
Luciano Berio;2
Ludwig van Beethoven;1655
Luigi Boccherini;129
Luigi Cherubini;10
Luigi Nono;4
Léo Delibes;196
Léonin;0
Malcolm Arnold;19
Manuel de Falla;0
Marc-Antoine Charpentier;24
Marin Marais;11
Maurice Duruflé;3
Maurice Ravel;255
Max Bruch;23
Max Reger;4
Michael Daugherty;0
Michael Praetorius;9
Michael Tippett;3
Mikhail Ivanovich Glinka;23
Milton Babbitt;0
Mily Balakirev;2
Modest Mussorgsky;166
Morton Gould;14
Ned Rorem;0
Niccolò Paganini;64
Nikolai Rimsky-Korsakov;207
Olivier Messiaen;18
Orlande de Lassus;0
Orlando Gibbons;4
Ottorino Respighi;29
Paul Dukas;32
Paul Hindemith;11
Percy Grainger;21
Philip Glass;105
Pierre Boulez;19
Pietro Mascagni;55
Pyotr Ilyich Tchaikovsky;1230
Pérotin;0
Ralph Vaughan Williams;45
Reinhold Glière;3
Richard Strauss;282
Richard Wagner;1463
Robert Schumann;251
Roy Harris;0
Ruggero Leoncavallo;133
Samuel Barber;58
Scott Joplin;161
Sergei Prokofiev;160
Sergei Rachmaninoff;227
Sofia Gubaidulina;2
Steve Reich;14
Thomas Adès;3
Thomas Tallis;19
Tomaso Albinoni;90
Tomás Luis de Victoria;9
Toru Takemitsu;7
Vagn Holmboe;0
Victor Herbert;115
Vincent d'Indy;0
Vincenzo Bellini;144
Wilhelm Stenhammar;2
William Byrd;15
William Schuman;0
William Walton;21
Witold Lutoslawski;5
Wolfgang Amadeus Mozart;1756
Wolfgang Rihm;0
Zoltán Kodály;8
